2015-04-26 19:08:15,685 CONFIG [com.gigaspaces.logger] - Log file: /Users/dxd/gigaspaces-xap-premium-9.5.1-ga/logs/2015-04-26~19.08-gigaspaces-service-192.168.1.100-6238.log
Time [clock=124, time=null]
Time [clock=104, time=null]
Time [clock=126, time=null]
Time [clock=106, time=null]
Time [clock=149, time=null]
Time [clock=99, time=null]
Time [clock=130, time=null]
Time [clock=101, time=null]
Time [clock=48, time=null]
Time [clock=103, time=null]
Time [clock=92, time=null]
Time [clock=93, time=null]
Time [clock=94, time=null]
Time [clock=89, time=null]
Time [clock=117, time=null]
Time [clock=100, time=null]
Time [clock=161, time=null]
Time [clock=90, time=null]
Time [clock=163, time=null]
Time [clock=80, time=null]
Time [clock=165, time=null]
Time [clock=97, time=null]
Time [clock=83, time=null]
Time [clock=81, time=null]
Time [clock=88, time=null]
Time [clock=71, time=null]
Time [clock=87, time=null]
Time [clock=85, time=null]
Time [clock=110, time=null]
Time [clock=78, time=null]
Time [clock=91, time=null]
Time [clock=68, time=null]
Time [clock=114, time=null]
Time [clock=76, time=null]
Time [clock=95, time=null]
Time [clock=69, time=null]
Time [clock=34, time=null]
Time [clock=59, time=null]
Time [clock=66, time=null]
Time [clock=73, time=null]
Time [clock=17, time=null]
Time [clock=57, time=null]
Time [clock=82, time=null]
Time [clock=56, time=null]
Time [clock=105, time=null]
Time [clock=64, time=null]
Time [clock=107, time=null]
Time [clock=54, time=null]
Time [clock=109, time=null]
Time [clock=50, time=null]
Time [clock=27, time=null]
Time [clock=61, time=null]
Time [clock=47, time=null]
Time [clock=45, time=null]
Time [clock=31, time=null]
Time [clock=44, time=null]
Time [clock=96, time=null]
Time [clock=52, time=null]
Time [clock=140, time=null]
Time [clock=42, time=null]
Time [clock=121, time=null]
Time [clock=35, time=null]
Time [clock=144, time=null]
Time [clock=19, time=null]
Time [clock=32, time=null]
Time [clock=84, time=null]
Time [clock=49, time=null]
Time [clock=86, time=null]
Time [clock=36, time=null]
Time [clock=67, time=null]
Time [clock=29, time=null]
Time [clock=6, time=null]
Time [clock=43, time=null]
Time [clock=23, time=null]
Time [clock=33, time=null]
Time [clock=10, time=null]
Time [clock=20, time=null]
Time [clock=75, time=null]
Time [clock=40, time=null]
Time [clock=119, time=null]
Time [clock=24, time=null]
Time [clock=79, time=null]
Time [clock=11, time=null]
Time [clock=102, time=null]
Time [clock=37, time=null]
Time [clock=62, time=null]
Time [clock=21, time=null]
Time [clock=28, time=null]
Time [clock=8, time=null]
Time [clock=3, time=null]
Time [clock=25, time=null]
Time [clock=26, time=null]
Time [clock=15, time=null]
Time [clock=70, time=null]
Time [clock=72, time=null]
Time [clock=51, time=null]
Time [clock=22, time=null]
Time [clock=74, time=null]
Time [clock=12, time=null]
Time [clock=98, time=null]
Time [clock=30, time=null]
Time [clock=9, time=null]
Time [clock=16, time=null]
Time [clock=7, time=null]
Time [clock=5, time=null]
Time [clock=41, time=null]
Time [clock=63, time=null]
Time [clock=53, time=null]
Time [clock=13, time=null]
Time [clock=65, time=null]
Time [clock=58, time=null]
Time [clock=46, time=null]
Time [clock=4, time=null]
Time [clock=60, time=null]
Time [clock=1, time=null]
Time [clock=2, time=null]
Time [clock=39, time=null]
Time [clock=77, time=null]
Time [clock=14, time=null]
Time [clock=18, time=null]
-------------------------last log tuples end----------------------------------
[CTAH] started agent 10
[CTAH] Added a new agent to the game by the name of 10.
[ENV] added agent a10
[CTAH] started agent 30
[CTAH] Added a new agent to the game by the name of 30.
[ENV] added agent a30
[CTAH] started agent 40
[CTAH] Added a new agent to the game by the name of 40.
[ENV] added agent a40
object notification: Time [clock=190, time=null]
Event sent to object      a10 clock(190)
object notification: Time [clock=190, time=null]
Event sent to object      a40 clock(190)
object notification: Time [clock=190, time=null]
Event sent to object      a30 clock(190)
org notification: Time [clock=190, time=null]
org notified sent time(190).
Organization notifies object (write): Obligation [subject=ra1, obligation=[surround(1, 1)], sanction=[reduce(g, 500)], deadline=191, time=2015-04-26 19:08:23.384, clock=0]
Organization notifies object (write): Obligation [subject=a10, obligation=[at(1, 0, a10)], sanction=[reduce(a10, 500)], deadline=191, time=2015-04-26 19:08:23.399, clock=0]
Event processed UpdateClock(190)
Organization notifies object (write): Obligation [subject=a20, obligation=[at(0, 1, a20)], sanction=[reduce(a20, 500)], deadline=191, time=2015-04-26 19:08:23.401, clock=0]
Organization notifies object (write): Obligation [subject=a30, obligation=[at(2, 1, a30)], sanction=[reduce(a30, 500)], deadline=191, time=2015-04-26 19:08:23.404, clock=0]
object notification: Obligation [subject=a10, obligation=[at(1, 0, a10)], sanction=[reduce(a10, 500)], deadline=191, time=2015-04-26 19:08:23.399, clock=0]
Organization notifies object (write): Obligation [subject=a40, obligation=[at(1, 2, a40)], sanction=[reduce(a40, 500)], deadline=191, time=2015-04-26 19:08:23.408, clock=0]
Event sent to object      a10 obligation([at(1, 0, a10)], 191, [reduce(a10, 500)])
object notification: Obligation [subject=a40, obligation=[at(1, 2, a40)], sanction=[reduce(a40, 500)], deadline=191, time=2015-04-26 19:08:23.408, clock=0]
Event sent to object      a40 obligation([at(1, 2, a40)], 191, [reduce(a40, 500)])
object notification: Obligation [subject=a30, obligation=[at(2, 1, a30)], sanction=[reduce(a30, 500)], deadline=191, time=2015-04-26 19:08:23.404, clock=0]
Event sent to object      a30 obligation([at(2, 1, a30)], 191, [reduce(a30, 500)])
Event processed UpdateClock(190)
Event processed adoptObligation(at(1, 0, a10), 191, reduce(a10, 500))
Event processed UpdateClock(190)
Event processed adoptObligation(at(1, 2, a40), 191, reduce(a40, 500))
Event processed adoptObligation(at(2, 1, a30), 191, reduce(a30, 500))
object notification: Time [clock=1, time=null]
Event sent to object      a40 clock(1)
object notification: Time [clock=1, time=null]
Event sent to object      a10 clock(1)
org notification: Time [clock=1, time=null]
org notified sent time(1).
object notification: Time [clock=1, time=null]
Event sent to object      a30 clock(1)
Event processed UpdateClock(1)
Event processed UpdateClock(1)
Event processed UpdateClock(1)
object notification: Time [clock=191, time=null]
Event sent to object      a10 clock(191)
object notification: Time [clock=191, time=null]
org notification: Time [clock=191, time=null]
org notified sent time(191).
Event sent to object      a30 clock(191)
object notification: Time [clock=191, time=null]
Event sent to object      a40 clock(191)
Event processed UpdateClock(191)
Event processed UpdateClock(191)
Event processed UpdateClock(191)
object notification: Time [clock=2, time=null]
Event sent to object      a10 clock(2)
org notification: Time [clock=2, time=null]
org notified sent time(2).
object notification: Time [clock=2, time=null]
Event sent to object      a40 clock(2)
object notification: Time [clock=2, time=null]
Event sent to object      a30 clock(2)
Event processed UpdateClock(2)
Event processed UpdateClock(2)
Event processed UpdateClock(2)
object notification: Time [clock=192, time=null]
Event sent to object      a10 clock(192)
object notification: Time [clock=192, time=null]
Event sent to object      a40 clock(192)
org notification: Time [clock=192, time=null]
org notified sent time(192).
object notification: Time [clock=192, time=null]
Event sent to object      a30 clock(192)
Event processed UpdateClock(192)
Event processed UpdateClock(192)
Event processed UpdateClock(192)
object notification: Time [clock=3, time=null]
Event sent to object      a10 clock(3)
object notification: Time [clock=3, time=null]
Event sent to object      a40 clock(3)
object notification: Time [clock=3, time=null]
Event sent to object      a30 clock(3)
org notification: Time [clock=3, time=null]
org notified sent time(3).
Event processed UpdateClock(3)
Event processed UpdateClock(3)
Event processed UpdateClock(3)
object notification: Time [clock=4, time=null]
Event sent to object      a10 clock(4)
object notification: Time [clock=4, time=null]
Event sent to object      a40 clock(4)
org notification: Time [clock=4, time=null]
org notified sent time(4).
object notification: Time [clock=4, time=null]
Event sent to object      a30 clock(4)
Event processed UpdateClock(4)
Event processed UpdateClock(4)
Event processed UpdateClock(4)
object notification: Time [clock=193, time=null]
Event sent to object      a40 clock(193)
object notification: Time [clock=193, time=null]
Event sent to object      a10 clock(193)
org notification: Time [clock=193, time=null]
org notified sent time(193).
object notification: Time [clock=193, time=null]
Event sent to object      a30 clock(193)
Event processed UpdateClock(193)
Event processed UpdateClock(193)
Event processed UpdateClock(193)
object notification: Time [clock=5, time=null]
Event sent to object      a10 clock(5)
org notification: Time [clock=5, time=null]
org notified sent time(5).
object notification: Time [clock=5, time=null]
Event sent to object      a40 clock(5)
object notification: Time [clock=5, time=null]
Event sent to object      a30 clock(5)
Event processed UpdateClock(5)
Event processed UpdateClock(5)
Event processed UpdateClock(5)
org notification: Time [clock=194, time=null]
org notified sent time(194).
object notification: Time [clock=194, time=null]
Event sent to object      a10 clock(194)
object notification: Time [clock=194, time=null]
Event sent to object      a30 clock(194)
object notification: Time [clock=194, time=null]
Event sent to object      a40 clock(194)
Event processed UpdateClock(194)
Event processed UpdateClock(194)
Event processed UpdateClock(194)
object notification: Time [clock=6, time=null]
Event sent to object      a10 clock(6)
object notification: Time [clock=6, time=null]
org notification: Time [clock=6, time=null]
org notified sent time(6).
object notification: Time [clock=6, time=null]
Event sent to object      a30 clock(6)
Event sent to object      a40 clock(6)
Event processed UpdateClock(6)
Event processed UpdateClock(6)
Event processed UpdateClock(6)
object notification: Time [clock=195, time=null]
Event sent to object      a10 clock(195)
object notification: Time [clock=195, time=null]
Event sent to object      a40 clock(195)
org notification: Time [clock=195, time=null]
org notified sent time(195).
object notification: Time [clock=195, time=null]
Event sent to object      a30 clock(195)
Event processed UpdateClock(195)
Event processed UpdateClock(195)
Event processed UpdateClock(195)
object notification: Time [clock=7, time=null]
Event sent to object      a10 clock(7)
object notification: Time [clock=7, time=null]
Event sent to object      a40 clock(7)
org notification: Time [clock=7, time=null]
org notified sent time(7).
object notification: Time [clock=7, time=null]
Event sent to object      a30 clock(7)
Event processed UpdateClock(7)
Event processed UpdateClock(7)
Event processed UpdateClock(7)
object notification: Time [clock=196, time=null]
Event sent to object      a10 clock(196)
org notification: Time [clock=196, time=null]
org notified sent time(196).
object notification: Time [clock=196, time=null]
Event sent to object      a40 clock(196)
object notification: Time [clock=196, time=null]
Event sent to object      a30 clock(196)
Event processed UpdateClock(196)
Event processed UpdateClock(196)
Event processed UpdateClock(196)
object notification: Time [clock=8, time=null]
object notification: Time [clock=8, time=null]
Event sent to object      a40 clock(8)
Event sent to object      a30 clock(8)
org notification: Time [clock=8, time=null]
org notified sent time(8).
object notification: Time [clock=8, time=null]
Event sent to object      a10 clock(8)
Event processed UpdateClock(8)
Event processed UpdateClock(8)
Event processed UpdateClock(8)
org notification: Time [clock=9, time=null]
object notification: Time [clock=9, time=null]
object notification: Time [clock=9, time=null]
org notified sent time(9).
Event sent to object      a40 clock(9)
Event sent to object      a10 clock(9)
object notification: Time [clock=9, time=null]
Event sent to object      a30 clock(9)
Event processed UpdateClock(9)
Event processed UpdateClock(9)
Event processed UpdateClock(9)
object notification: Time [clock=197, time=null]
Event sent to object      a30 clock(197)
object notification: Time [clock=197, time=null]
object notification: Time [clock=197, time=null]
Event sent to object      a10 clock(197)
Event sent to object      a40 clock(197)
org notification: Time [clock=197, time=null]
org notified sent time(197).
Event processed UpdateClock(197)
Event processed UpdateClock(197)
Event processed UpdateClock(197)
object notification: Time [clock=10, time=null]
Event sent to object      a10 clock(10)
object notification: Time [clock=10, time=null]
Event sent to object      a40 clock(10)
object notification: Time [clock=10, time=null]
Event sent to object      a30 clock(10)
org notification: Time [clock=10, time=null]
org notified sent time(10).
Event processed UpdateClock(10)
Event processed UpdateClock(10)
Event processed UpdateClock(10)
org notification: Time [clock=198, time=null]
org notified sent time(198).
object notification: Time [clock=198, time=null]
object notification: Time [clock=198, time=null]
Event sent to object      a10 clock(198)
Event sent to object      a40 clock(198)
object notification: Time [clock=198, time=null]
Event sent to object      a30 clock(198)
Event processed UpdateClock(198)
Event processed UpdateClock(198)
Event processed UpdateClock(198)
object notification: Time [clock=11, time=null]
Event sent to object      a10 clock(11)
object notification: Time [clock=11, time=null]
Event sent to object      a40 clock(11)
org notification: Time [clock=11, time=null]
org notified sent time(11).
object notification: Time [clock=11, time=null]
Event sent to object      a30 clock(11)
Event processed UpdateClock(11)
Event processed UpdateClock(11)
Event processed UpdateClock(11)
object notification: Time [clock=199, time=null]
Event sent to object      a40 clock(199)
object notification: Time [clock=199, time=null]
object notification: Time [clock=199, time=null]
org notification: Time [clock=199, time=null]
org notified sent time(199).
Event sent to object      a30 clock(199)
Event sent to object      a10 clock(199)
Event processed UpdateClock(199)
Event processed UpdateClock(199)
Event processed UpdateClock(199)
object notification: Time [clock=12, time=null]
object notification: Time [clock=12, time=null]
org notification: Time [clock=12, time=null]
org notified sent time(12).
object notification: Time [clock=12, time=null]
Event sent to object      a30 clock(12)
Event sent to object      a40 clock(12)
Event sent to object      a10 clock(12)
Event processed UpdateClock(12)
Event processed UpdateClock(12)
Event processed UpdateClock(12)
org notification: Time [clock=200, time=null]
object notification: Time [clock=200, time=null]
org notified sent time(200).
Event sent to object      a30 clock(200)
object notification: Time [clock=200, time=null]
Event sent to object      a40 clock(200)
object notification: Time [clock=200, time=null]
Event sent to object      a10 clock(200)
Event processed UpdateClock(200)
Event processed UpdateClock(200)
Event processed UpdateClock(200)
object notification: Time [clock=13, time=null]
org notification: Time [clock=13, time=null]
org notified sent time(13).
object notification: Time [clock=13, time=null]
object notification: Time [clock=13, time=null]
Event sent to object      a40 clock(13)
Event sent to object      a10 clock(13)
Event sent to object      a30 clock(13)
Event processed UpdateClock(13)
Event processed UpdateClock(13)
Event processed UpdateClock(13)
org notification: Time [clock=201, time=null]
org notified sent time(201).
object notification: Time [clock=201, time=null]
Event sent to object      a30 clock(201)
object notification: Time [clock=201, time=null]
Event sent to object      a10 clock(201)
object notification: Time [clock=201, time=null]
Event sent to object      a40 clock(201)
Event processed UpdateClock(201)
Event processed UpdateClock(201)
Event processed UpdateClock(201)
object notification: Time [clock=14, time=null]
Event sent to object      a10 clock(14)
org notification: Time [clock=14, time=null]
org notified sent time(14).
object notification: Time [clock=14, time=null]
object notification: Time [clock=14, time=null]
Event sent to object      a30 clock(14)
Event sent to object      a40 clock(14)
Event processed UpdateClock(14)
Event processed UpdateClock(14)
Event processed UpdateClock(14)
object notification: Time [clock=202, time=null]
object notification: Time [clock=202, time=null]
Event sent to object      a30 clock(202)
Event sent to object      a40 clock(202)
object notification: Time [clock=202, time=null]
org notification: Time [clock=202, time=null]
org notified sent time(202).
Event sent to object      a10 clock(202)
Event processed UpdateClock(202)
Event processed UpdateClock(202)
Event processed UpdateClock(202)
object notification: Time [clock=15, time=null]
Event sent to object      a30 clock(15)
object notification: Time [clock=15, time=null]
Event sent to object      a40 clock(15)
object notification: Time [clock=15, time=null]
Event sent to object      a10 clock(15)
org notification: Time [clock=15, time=null]
org notified sent time(15).
Event processed UpdateClock(15)
Event processed UpdateClock(15)
Event processed UpdateClock(15)
object notification: Time [clock=16, time=null]
object notification: Time [clock=16, time=null]
object notification: Time [clock=16, time=null]
Event sent to object      a30 clock(16)
org notification: Time [clock=16, time=null]
Event sent to object      a40 clock(16)
Event sent to object      a10 clock(16)
org notified sent time(16).
Event processed UpdateClock(16)
Event processed UpdateClock(16)
Event processed UpdateClock(16)
object notification: Time [clock=203, time=null]
org notification: Time [clock=203, time=null]
org notified sent time(203).
Event sent to object      a30 clock(203)
object notification: Time [clock=203, time=null]
object notification: Time [clock=203, time=null]
Event sent to object      a10 clock(203)
Event sent to object      a40 clock(203)
Event processed UpdateClock(203)
Event processed UpdateClock(203)
Event processed UpdateClock(203)
org notification: Time [clock=17, time=null]
object notification: Time [clock=17, time=null]
object notification: Time [clock=17, time=null]
Event sent to object      a10 clock(17)
Event sent to object      a30 clock(17)
org notified sent time(17).
object notification: Time [clock=17, time=null]
Event sent to object      a40 clock(17)
Event processed UpdateClock(17)
Event processed UpdateClock(17)
Event processed UpdateClock(17)
object notification: Time [clock=204, time=null]
org notification: Time [clock=204, time=null]
org notified sent time(204).
object notification: Time [clock=204, time=null]
object notification: Time [clock=204, time=null]
Event sent to object      a30 clock(204)
Event sent to object      a40 clock(204)
Event sent to object      a10 clock(204)
Event processed UpdateClock(204)
Event processed UpdateClock(204)
Event processed UpdateClock(204)
object notification: Time [clock=18, time=null]
object notification: Time [clock=18, time=null]
Event sent to object      a30 clock(18)
Event sent to object      a40 clock(18)
object notification: Time [clock=18, time=null]
Event sent to object      a10 clock(18)
org notification: Time [clock=18, time=null]
org notified sent time(18).
Event processed UpdateClock(18)
Event processed UpdateClock(18)
Event processed UpdateClock(18)
org notification: Time [clock=205, time=null]
org notified sent time(205).
object notification: Time [clock=205, time=null]
Event sent to object      a10 clock(205)
object notification: Time [clock=205, time=null]
object notification: Time [clock=205, time=null]
Event sent to object      a30 clock(205)
Event sent to object      a40 clock(205)
Event processed UpdateClock(205)
Event processed UpdateClock(205)
Event processed UpdateClock(205)
org notification: Time [clock=19, time=null]
org notified sent time(19).
object notification: Time [clock=19, time=null]
object notification: Time [clock=19, time=null]
Event sent to object      a30 clock(19)
object notification: Time [clock=19, time=null]
Event sent to object      a40 clock(19)
Event sent to object      a10 clock(19)
Event processed UpdateClock(19)
Event processed UpdateClock(19)
Event processed UpdateClock(19)
object notification: Time [clock=20, time=null]
Event sent to object      a10 clock(20)
org notification: Time [clock=20, time=null]
org notified sent time(20).
object notification: Time [clock=20, time=null]
Event sent to object      a40 clock(20)
object notification: Time [clock=20, time=null]
Event sent to object      a30 clock(20)
Event processed UpdateClock(20)
Event processed UpdateClock(20)
Event processed UpdateClock(20)
object notification: Time [clock=206, time=null]
object notification: Time [clock=206, time=null]
Event sent to object      a10 clock(206)
Event sent to object      a40 clock(206)
object notification: Time [clock=206, time=null]
Event sent to object      a30 clock(206)
org notification: Time [clock=206, time=null]
org notified sent time(206).
Event processed UpdateClock(206)
Event processed UpdateClock(206)
Event processed UpdateClock(206)
object notification: Time [clock=21, time=null]
Event sent to object      a10 clock(21)
org notification: Time [clock=21, time=null]
org notified sent time(21).
object notification: Time [clock=21, time=null]
Event sent to object      a40 clock(21)
object notification: Time [clock=21, time=null]
Event sent to object      a30 clock(21)
Event processed UpdateClock(21)
Event processed UpdateClock(21)
Event processed UpdateClock(21)
object notification: Time [clock=207, time=null]
org notification: Time [clock=207, time=null]
org notified sent time(207).
Event sent to object      a30 clock(207)
object notification: Time [clock=207, time=null]
object notification: Time [clock=207, time=null]
Event sent to object      a40 clock(207)
Event sent to object      a10 clock(207)
Event processed UpdateClock(207)
Event processed UpdateClock(207)
Event processed UpdateClock(207)
object notification: Time [clock=22, time=null]
org notification: Time [clock=22, time=null]
org notified sent time(22).
Event sent to object      a10 clock(22)
object notification: Time [clock=22, time=null]
Event sent to object      a40 clock(22)
object notification: Time [clock=22, time=null]
Event sent to object      a30 clock(22)
Event processed UpdateClock(22)
Event processed UpdateClock(22)
Event processed UpdateClock(22)
object notification: Time [clock=208, time=null]
Event sent to object      a10 clock(208)
object notification: Time [clock=208, time=null]
org notification: Time [clock=208, time=null]
org notified sent time(208).
object notification: Time [clock=208, time=null]
Event sent to object      a30 clock(208)
Event sent to object      a40 clock(208)
Event processed UpdateClock(208)
Event processed UpdateClock(208)
Event processed UpdateClock(208)
object notification: Time [clock=23, time=null]
Event sent to object      a10 clock(23)
org notification: Time [clock=23, time=null]
org notified sent time(23).
object notification: Time [clock=23, time=null]
Event sent to object      a30 clock(23)
object notification: Time [clock=23, time=null]
Event sent to object      a40 clock(23)
Event processed UpdateClock(23)
Event processed UpdateClock(23)
Event processed UpdateClock(23)
object notification: Time [clock=24, time=null]
Event sent to object      a30 clock(24)
org notification: Time [clock=24, time=null]
object notification: Time [clock=24, time=null]
object notification: Time [clock=24, time=null]
org notified sent time(24).
Event sent to object      a10 clock(24)
Event sent to object      a40 clock(24)
Event processed UpdateClock(24)
Event processed UpdateClock(24)
Event processed UpdateClock(24)
object notification: Time [clock=209, time=null]
object notification: Time [clock=209, time=null]
object notification: Time [clock=209, time=null]
Event sent to object      a30 clock(209)
Event sent to object      a40 clock(209)
org notification: Time [clock=209, time=null]
org notified sent time(209).
Event sent to object      a10 clock(209)
Event processed UpdateClock(209)
Event processed UpdateClock(209)
Event processed UpdateClock(209)
object notification: Time [clock=25, time=null]
object notification: Time [clock=25, time=null]
Event sent to object      a40 clock(25)
org notification: Time [clock=25, time=null]
org notified sent time(25).
Event sent to object      a10 clock(25)
object notification: Time [clock=25, time=null]
Event sent to object      a30 clock(25)
Event processed UpdateClock(25)
Event processed UpdateClock(25)
Event processed UpdateClock(25)
org notification: Time [clock=210, time=null]
org notified sent time(210).
object notification: Time [clock=210, time=null]
Event sent to object      a30 clock(210)
object notification: Time [clock=210, time=null]
Event sent to object      a40 clock(210)
object notification: Time [clock=210, time=null]
Event sent to object      a10 clock(210)
Event processed UpdateClock(210)
Event processed UpdateClock(210)
Event processed UpdateClock(210)
org notification: Time [clock=26, time=null]
org notified sent time(26).
object notification: Time [clock=26, time=null]
Event sent to object      a30 clock(26)
object notification: Time [clock=26, time=null]
Event sent to object      a10 clock(26)
object notification: Time [clock=26, time=null]
Event sent to object      a40 clock(26)
Event processed UpdateClock(26)
Event processed UpdateClock(26)
Event processed UpdateClock(26)
object notification: Time [clock=211, time=null]
Event sent to object      a10 clock(211)
org notification: Time [clock=211, time=null]
org notified sent time(211).
object notification: Time [clock=211, time=null]
Event sent to object      a30 clock(211)
object notification: Time [clock=211, time=null]
Event sent to object      a40 clock(211)
Event processed UpdateClock(211)
Event processed UpdateClock(211)
Event processed UpdateClock(211)
object notification: Time [clock=27, time=null]
org notification: Time [clock=27, time=null]
object notification: Time [clock=27, time=null]
Event sent to object      a10 clock(27)
Event sent to object      a40 clock(27)
org notified sent time(27).
object notification: Time [clock=27, time=null]
Event sent to object      a30 clock(27)
Event processed UpdateClock(27)
Event processed UpdateClock(27)
Event processed UpdateClock(27)
object notification: Time [clock=212, time=null]
org notification: Time [clock=212, time=null]
org notified sent time(212).
object notification: Time [clock=212, time=null]
Event sent to object      a10 clock(212)
object notification: Time [clock=212, time=null]
Event sent to object      a40 clock(212)
Event sent to object      a30 clock(212)
Event processed UpdateClock(212)
Event processed UpdateClock(212)
Event processed UpdateClock(212)
object notification: Time [clock=28, time=null]
object notification: Time [clock=28, time=null]
org notification: Time [clock=28, time=null]
org notified sent time(28).
Event sent to object      a10 clock(28)
Event sent to object      a30 clock(28)
object notification: Time [clock=28, time=null]
Event sent to object      a40 clock(28)
Event processed UpdateClock(28)
Event processed UpdateClock(28)
Event processed UpdateClock(28)
object notification: Time [clock=29, time=null]
org notification: Time [clock=29, time=null]
org notified sent time(29).
object notification: Time [clock=29, time=null]
Event sent to object      a10 clock(29)
Event sent to object      a40 clock(29)
object notification: Time [clock=29, time=null]
Event sent to object      a30 clock(29)
Event processed UpdateClock(29)
Event processed UpdateClock(29)
Event processed UpdateClock(29)
org notification: Time [clock=213, time=null]
object notification: Time [clock=213, time=null]
object notification: Time [clock=213, time=null]
object notification: Time [clock=213, time=null]
Event sent to object      a10 clock(213)
org notified sent time(213).
Event sent to object      a40 clock(213)
Event sent to object      a30 clock(213)
Event processed UpdateClock(213)
Event processed UpdateClock(213)
Event processed UpdateClock(213)
object notification: Time [clock=30, time=null]
Event sent to object      a30 clock(30)
object notification: Time [clock=30, time=null]
org notification: Time [clock=30, time=null]
org notified sent time(30).
object notification: Time [clock=30, time=null]
Event sent to object      a40 clock(30)
Event sent to object      a10 clock(30)
Event processed UpdateClock(30)
Event processed UpdateClock(30)
Event processed UpdateClock(30)
object notification: Time [clock=214, time=null]
Event sent to object      a40 clock(214)
object notification: Time [clock=214, time=null]
Event sent to object      a10 clock(214)
object notification: Time [clock=214, time=null]
org notification: Time [clock=214, time=null]
org notified sent time(214).
Event sent to object      a30 clock(214)
Event processed UpdateClock(214)
Event processed UpdateClock(214)
Event processed UpdateClock(214)
object notification: Time [clock=31, time=null]
object notification: Time [clock=31, time=null]
Event sent to object      a10 clock(31)
Event sent to object      a40 clock(31)
object notification: Time [clock=31, time=null]
org notification: Time [clock=31, time=null]
org notified sent time(31).
Event sent to object      a30 clock(31)
Event processed UpdateClock(31)
Event processed UpdateClock(31)
Event processed UpdateClock(31)
object notification: Time [clock=215, time=null]
object notification: Time [clock=215, time=null]
Event sent to object      a30 clock(215)
Event sent to object      a10 clock(215)
object notification: Time [clock=215, time=null]
org notification: Time [clock=215, time=null]
org notified sent time(215).
Event sent to object      a40 clock(215)
Event processed UpdateClock(215)
Event processed UpdateClock(215)
Event processed UpdateClock(215)
object notification: Time [clock=32, time=null]
object notification: Time [clock=32, time=null]
Event sent to object      a10 clock(32)
org notification: Time [clock=32, time=null]
org notified sent time(32).
Event sent to object      a40 clock(32)
object notification: Time [clock=32, time=null]
Event sent to object      a30 clock(32)
Event processed UpdateClock(32)
Event processed UpdateClock(32)
Event processed UpdateClock(32)
object notification: Time [clock=216, time=null]
object notification: Time [clock=216, time=null]
Event sent to object      a10 clock(216)
Event sent to object      a30 clock(216)
object notification: Time [clock=216, time=null]
org notification: Time [clock=216, time=null]
org notified sent time(216).
Event sent to object      a40 clock(216)
Event processed UpdateClock(216)
Event processed UpdateClock(216)
Event processed UpdateClock(216)
object notification: Time [clock=33, time=null]
